Bowler Type,Ball Length,Ball Line,Speed (km/h),Shot Type,Runs Scored,Wicket,Field Placement,Angle,Bounce (cm),Field Positions
Spin,Full,Off-stump,136,Sweep,0,0,Defensive,-2.3267851194223983,38,Cover
Spin,Short,Off-stump,128,Defensive,0,0,Aggressive,0.11040403003437405,63,Point
Spin,Good,Off-stump,135,Defensive,4,0,Balanced,-10.461647753283515,67,Point
Fast,Good,Middle,138,Pull,0,0,Defensive,1.9130707613200002,29,Point
Spin,Good,Off-stump,145,Edge,4,1,Defensive,-10.092927082349643,16,Fine Leg
Fast,Short,Middle,134,Cover Drive,0,0,Defensive,-14.970072175216373,106,Mid-wicket
Spin,Full,Off-stump,128,Cover Drive,0,0,Defensive,5.051442340291164,118,Fine Leg
Fast,Full,Leg-stump,112,Sweep,4,1,Balanced,8.723675977913985,11,Square Leg
Fast,Good,Leg-stump,144,Edge,0,0,Balanced,4.023965709823372,39,Slips
Spin,Full,Off-stump,124,Pull,0,0,Aggressive,14.680211082191388,23,Mid-wicket
Fast,Full,Off-stump,128,Cover Drive,1,0,Aggressive,-10.156085590064464,16,Slips
Fast,Full,Leg-stump,133,Cut,4,0,Defensive,12.756547813458855,89,Long-off
Spin,Full,Leg-stump,123,Edge,3,0,Balanced,-5.285655208568798,94,Square Leg
Fast,Short,Off-stump,135,Pull,3,0,Aggressive,2.0493545232181702,66,Long-on
Fast,Full,Leg-stump,121,Hook,2,0,Balanced,-0.0006809257607862662,73,Long-on
Spin,Good,Leg-stump,142,Cover Drive,3,0,Defensive,-9.781012340106596,98,Long-on
Spin,Good,Middle,119,Flick,0,0,Defensive,-3.347662992887532,38,Long-on
Fast,Full,Off-stump,143,Sweep,1,0,Defensive,-1.704064108133478,25,Fine Leg
Fast,Good,Leg-stump,119,Cut,0,0,Defensive,11.509367944001927,118,Cover
Fast,Good,Off-stump,138,Hook,0,0,Balanced,-14.26867105268115,23,Square Leg
Spin,Short,Middle,110,Hook,3,0,Aggressive,4.3750886784333005,39,Slips
Spin,Good,Middle,124,Edge,0,0,Defensive,-11.439956493785902,46,Cover
Fast,Short,Middle,148,Straight Drive,1,0,Balanced,-1.046247945776928,26,Long-on
Fast,Good,Middle,140,Defensive,3,0,Balanced,5.324953427253504,87,Point
Fast,Good,Leg-stump,127,Sweep,0,0,Defensive,-10.162403744410621,41,Cover
Fast,Full,Leg-stump,138,Cover Drive,1,1,Defensive,10.448017614484424,111,Point
Fast,Good,Off-stump,122,Edge,0,1,Aggressive,-14.505639680713593,104,Cover
Spin,Short,Off-stump,120,Cut,1,0,Balanced,-10.403160696901288,66,Long-on
Spin,Short,Leg-stump,114,Cut,0,0,Aggressive,-1.3659067175435098,99,Long-off
Spin,Good,Off-stump,115,Hook,0,0,Balanced,0.6781683933627658,62,Square Leg
Fast,Full,Leg-stump,147,Cut,0,0,Defensive,12.598164531102238,23,Slips
Spin,Short,Leg-stump,137,Hook,1,0,Balanced,10.74194453425331,72,Slips
Fast,Good,Off-stump,125,Sweep,4,0,Balanced,-5.61296964865037,63,Long-off
Spin,Good,Middle,133,Defensive,1,0,Defensive,-8.854937287405217,115,Long-on
Fast,Full,Leg-stump,116,Flick,0,0,Balanced,3.6735105558242402,37,Slips
Fast,Full,Off-stump,111,Cut,2,0,Defensive,-10.940937983319364,30,Point
Spin,Short,Middle,134,Edge,4,0,Balanced,-10.224805212276205,33,Mid-wicket
Spin,Full,Middle,111,Pull,1,0,Balanced,-2.6482882368101848,84,Long-off
Spin,Full,Off-stump,126,Sweep,0,0,Aggressive,-10.373193056485771,59,Long-off
Fast,Full,Leg-stump,133,Sweep,1,0,Balanced,-14.871946781928791,17,Long-on
Fast,Good,Off-stump,133,Cover Drive,2,0,Aggressive,-9.127673702733205,70,Mid-wicket
Fast,Full,Middle,131,Cut,0,0,Aggressive,0.7625120705730932,47,Point
Fast,Short,Off-stump,132,Cut,0,0,Aggressive,-1.0042182996649167,17,Cover
Fast,Good,Off-stump,142,Cut,1,0,Defensive,6.252718521602521,56,Slips
Fast,Full,Middle,126,Cover Drive,0,0,Aggressive,12.35395060727442,48,Long-on
Fast,Full,Leg-stump,111,Cover Drive,4,0,Defensive,-9.63751466559019,48,Square Leg
Spin,Good,Off-stump,142,Cut,4,0,Defensive,2.9511636815307334,98,Fine Leg
Fast,Full,Leg-stump,140,Flick,1,0,Defensive,10.505860753512067,43,Fine Leg
Fast,Short,Middle,128,Pull,0,0,Balanced,2.3484743377557713,38,Point
Spin,Good,Middle,126,Sweep,2,0,Aggressive,-12.534770831595962,81,Long-off
Fast,Short,Leg-stump,130,Hook,6,0,Balanced,3.84355706977167,58,Square Leg
Spin,Good,Leg-stump,135,Sweep,0,0,Balanced,3.0945584377531716,110,Slips
Fast,Good,Off-stump,125,Flick,0,0,Defensive,-7.629120949301257,30,Mid-wicket
Fast,Full,Leg-stump,147,Sweep,4,0,Defensive,-6.1039008808580135,32,Slips
Fast,Short,Middle,139,Straight Drive,3,0,Defensive,0.17026269646671466,18,Point
Fast,Good,Middle,142,Cover Drive,4,0,Defensive,11.11818351588716,51,Mid-wicket
Spin,Full,Middle,117,Sweep,1,0,Balanced,4.195806897443148,84,Slips
Spin,Full,Off-stump,132,Straight Drive,1,0,Defensive,-0.46258323083318054,10,Long-on
Fast,Good,Middle,126,Pull,3,0,Defensive,7.36493107231874,33,Point
Fast,Short,Off-stump,117,Cut,0,0,Balanced,-9.661790087734197,22,Long-on
Spin,Good,Middle,145,Straight Drive,0,0,Aggressive,12.03929400707949,95,Mid-wicket
Fast,Short,Off-stump,148,Edge,3,0,Aggressive,11.830750812862327,63,Long-off
Spin,Good,Leg-stump,117,Straight Drive,2,0,Defensive,-1.0334026768419964,72,Point
Spin,Good,Off-stump,115,Pull,1,0,Defensive,9.654854210766189,113,Point
Fast,Good,Middle,148,Flick,3,0,Balanced,-14.436797683224963,68,Slips
Spin,Full,Leg-stump,136,Edge,6,0,Defensive,4.718345792092034,38,Slips
Spin,Good,Middle,133,Defensive,4,0,Balanced,-13.918871527710282,85,Mid-wicket
Spin,Short,Leg-stump,128,Hook,0,0,Defensive,5.293288284284021,110,Point
Fast,Full,Leg-stump,142,Flick,0,0,Balanced,8.938927065694791,94,Square Leg
Fast,Full,Leg-stump,112,Flick,4,0,Defensive,0.6179050603492744,83,Slips
Fast,Good,Off-stump,134,Straight Drive,2,0,Aggressive,10.05073627576295,69,Mid-wicket
Spin,Short,Middle,133,Edge,3,0,Aggressive,-4.565873247897409,101,Mid-wicket
Spin,Good,Leg-stump,123,Cover Drive,4,0,Balanced,-12.7405814507469,102,Long-on
Spin,Good,Middle,128,Edge,0,0,Balanced,-5.112072590444722,44,Slips
Spin,Good,Middle,115,Cut,0,0,Balanced,-4.194979695313435,29,Slips
Fast,Full,Middle,114,Sweep,0,0,Defensive,-10.524857176318399,58,Slips
Spin,Full,Off-stump,131,Defensive,1,0,Defensive,11.22601324225407,110,Fine Leg
Spin,Full,Leg-stump,114,Hook,4,0,Defensive,-1.867856695377279,74,Cover
Fast,Short,Middle,145,Straight Drive,0,0,Aggressive,-1.383719997499119,85,Slips
Spin,Full,Leg-stump,114,Straight Drive,1,0,Defensive,-6.121805922023489,36,Slips
Spin,Short,Middle,110,Flick,4,0,Aggressive,-1.7794941928641457,22,Slips
Fast,Short,Middle,146,Edge,2,0,Aggressive,-8.562195177081506,58,Slips
Fast,Full,Middle,137,Edge,0,0,Balanced,-7.066713298081112,19,Square Leg
Fast,Full,Off-stump,121,Defensive,0,0,Balanced,6.710807264668237,26,Long-off
Spin,Full,Leg-stump,147,Sweep,0,0,Balanced,-1.9352518602260673,52,Square Leg
Fast,Full,Middle,145,Cut,3,0,Defensive,9.344820095269743,111,Square Leg
Spin,Good,Middle,146,Hook,4,0,Defensive,14.146610950122685,35,Point
Fast,Short,Middle,111,Cover Drive,1,0,Defensive,-12.215744860257027,49,Long-on
Fast,Short,Leg-stump,144,Hook,0,0,Defensive,-8.278405855715706,111,Long-on
Fast,Full,Leg-stump,125,Hook,1,0,Defensive,1.479902950027121,18,Mid-wicket
Fast,Good,Leg-stump,135,Cover Drive,4,0,Balanced,-9.995399550332621,65,Mid-wicket
Spin,Short,Leg-stump,118,Defensive,0,0,Aggressive,1.4708178873222053,116,Fine Leg
Spin,Short,Leg-stump,121,Hook,3,0,Balanced,-1.3762860379318287,50,Slips
Spin,Good,Off-stump,127,Straight Drive,0,0,Balanced,-2.888956152626129,109,Slips
Spin,Short,Middle,132,Pull,1,0,Balanced,7.2898500818187415,93,Point
Fast,Good,Off-stump,146,Hook,0,0,Balanced,6.819234172663542,19,Slips
Spin,Full,Leg-stump,128,Straight Drive,1,0,Balanced,10.493644533799756,66,Cover
Fast,Good,Leg-stump,128,Sweep,1,0,Balanced,-9.650317081595077,35,Slips
Fast,Short,Leg-stump,149,Defensive,1,0,Balanced,9.877441953464825,69,Slips
Fast,Full,Off-stump,142,Flick,1,0,Defensive,8.032278408060762,76,Fine Leg
Fast,Good,Middle,122,Hook,4,0,Defensive,14.408927619382503,40,Mid-wicket
Fast,Full,Off-stump,121,Straight Drive,4,0,Balanced,11.505179141659145,54,Mid-wicket
Spin,Full,Middle,135,Pull,3,0,Aggressive,12.957961615040336,27,Point
Fast,Full,Off-stump,111,Pull,4,0,Balanced,2.28631326752987,115,Fine Leg
Spin,Good,Middle,146,Cover Drive,3,0,Defensive,11.038401719498761,55,Mid-wicket
Spin,Full,Off-stump,147,Sweep,0,0,Defensive,9.091569084576236,95,Slips
Fast,Full,Off-stump,143,Cut,6,0,Defensive,6.455666343224625,86,Point
Fast,Full,Leg-stump,112,Cover Drive,3,0,Aggressive,-1.1658301119585595,86,Mid-wicket
Spin,Good,Middle,123,Sweep,2,0,Defensive,9.623376657837763,42,Slips
Spin,Good,Leg-stump,115,Cut,0,0,Aggressive,-10.73545560225809,90,Fine Leg
Spin,Short,Leg-stump,142,Cut,0,0,Balanced,-1.5945778654499154,52,Long-on
Fast,Short,Off-stump,111,Straight Drive,4,0,Defensive,-12.614137865284764,102,Mid-wicket
Fast,Good,Leg-stump,115,Sweep,4,0,Defensive,1.4777773479550085,17,Point
Spin,Full,Off-stump,115,Hook,2,0,Defensive,-14.953795042436816,40,Long-on
Spin,Good,Off-stump,119,Edge,0,0,Balanced,-12.126898138284304,97,Cover
Fast,Full,Leg-stump,121,Straight Drive,0,0,Defensive,-13.248268189945158,20,Point
Fast,Full,Middle,124,Pull,1,0,Aggressive,-0.8422678843455902,60,Mid-wicket
Spin,Good,Off-stump,124,Cut,1,0,Aggressive,-14.854209040090577,86,Point
Spin,Short,Off-stump,143,Cover Drive,0,0,Aggressive,4.562677114840955,102,Long-on
Fast,Full,Leg-stump,149,Defensive,0,0,Defensive,12.267814804655924,116,Fine Leg
Spin,Good,Middle,131,Sweep,0,0,Aggressive,-3.2026079208470897,32,Long-off
Spin,Good,Leg-stump,118,Straight Drive,0,0,Defensive,6.264450282021581,113,Slips
Spin,Short,Leg-stump,135,Cut,0,0,Balanced,-6.672287321756015,37,Long-on
Spin,Full,Middle,148,Cover Drive,0,0,Defensive,0.03737911157774043,68,Square Leg
Spin,Good,Off-stump,111,Sweep,0,0,Defensive,-3.5084892308570588,49,Long-off
Spin,Good,Middle,115,Edge,2,0,Aggressive,-10.02941242306961,41,Cover
Spin,Short,Middle,115,Sweep,1,0,Aggressive,-9.281403756679866,81,Fine Leg
Fast,Good,Middle,114,Defensive,0,0,Balanced,-6.865188027136654,11,Long-off
Fast,Short,Leg-stump,131,Defensive,4,0,Defensive,-8.08593919394417,119,Slips
Fast,Good,Leg-stump,110,Hook,0,1,Balanced,-9.229382864369693,45,Slips
Spin,Good,Off-stump,111,Pull,1,0,Aggressive,7.401730865939129,107,Long-on
Spin,Short,Middle,110,Sweep,2,1,Defensive,7.0398511710221605,94,Point
Fast,Full,Leg-stump,128,Hook,2,0,Defensive,0.702487313859022,11,Slips
Fast,Short,Leg-stump,122,Sweep,2,1,Balanced,-4.606385262050187,10,Point
Spin,Good,Off-stump,118,Cover Drive,1,0,Balanced,0.23686778288514354,36,Square Leg
Spin,Full,Off-stump,132,Defensive,1,0,Aggressive,14.340481080565421,73,Point
Fast,Short,Leg-stump,148,Pull,0,0,Balanced,-12.903915017820122,103,Mid-wicket
Spin,Short,Leg-stump,148,Hook,0,1,Balanced,-0.37663705655479696,60,Long-off
Fast,Short,Off-stump,112,Straight Drive,0,0,Balanced,-13.053353093110761,111,Long-on
Fast,Good,Off-stump,111,Defensive,0,1,Balanced,-6.7156286465569295,59,Point
Spin,Good,Leg-stump,112,Flick,0,0,Aggressive,-13.156091617780136,31,Long-on
Fast,Full,Leg-stump,131,Pull,0,0,Defensive,0.7469696756397788,87,Cover
Spin,Full,Middle,144,Straight Drive,0,0,Balanced,10.064640486059886,52,Fine Leg
Spin,Good,Middle,110,Cover Drive,0,0,Balanced,9.99292890209533,80,Long-on
Fast,Full,Leg-stump,142,Cover Drive,6,0,Aggressive,0.8099877683283445,22,Long-on
Fast,Full,Middle,140,Straight Drive,0,0,Aggressive,-6.743485507540264,71,Slips
Fast,Good,Leg-stump,118,Edge,0,0,Balanced,-4.1852760549741355,93,Long-on
Fast,Full,Leg-stump,129,Cut,0,0,Defensive,-13.024059515435235,81,Slips
Fast,Good,Off-stump,136,Cut,3,0,Defensive,-4.609500703347489,19,Mid-wicket
Fast,Good,Middle,140,Edge,4,0,Defensive,11.401080056659737,41,Square Leg
Spin,Full,Off-stump,144,Hook,0,0,Aggressive,-10.963978797943165,70,Square Leg
Spin,Short,Leg-stump,120,Edge,2,0,Defensive,-11.461616418998442,99,Long-on
Fast,Full,Middle,148,Cover Drive,3,0,Balanced,13.028306201978214,48,Slips
Spin,Good,Leg-stump,132,Pull,1,0,Aggressive,-2.3138849749522254,68,Long-on
Spin,Good,Middle,134,Straight Drive,3,0,Defensive,2.705664137553832,66,Cover
Spin,Good,Off-stump,137,Hook,2,0,Balanced,7.184292225762121,71,Mid-wicket
Fast,Good,Middle,120,Straight Drive,0,0,Aggressive,12.185906784722189,107,Cover
Spin,Short,Off-stump,135,Sweep,1,0,Aggressive,4.731386358595778,33,Mid-wicket
Fast,Short,Leg-stump,141,Sweep,4,0,Aggressive,-1.1338400813688612,61,Mid-wicket
Spin,Short,Off-stump,140,Cut,0,0,Aggressive,-6.521603534658931,52,Long-off
Spin,Good,Middle,119,Flick,0,0,Defensive,1.121260569889408,30,Point
Fast,Good,Off-stump,142,Pull,0,0,Defensive,-14.69679549594604,115,Fine Leg
Fast,Good,Middle,118,Hook,1,0,Balanced,10.068203215710952,39,Point
Spin,Good,Off-stump,121,Edge,0,0,Defensive,5.2952627159189944,106,Point
Spin,Short,Middle,115,Sweep,3,0,Aggressive,5.6384969946466725,97,Long-off
Fast,Short,Middle,111,Edge,0,0,Aggressive,13.112760346899499,98,Fine Leg
Spin,Short,Leg-stump,145,Cover Drive,0,0,Defensive,-1.0645032292926935,52,Point
Fast,Full,Leg-stump,124,Defensive,3,0,Defensive,-11.152543038201424,91,Long-on
Spin,Short,Middle,146,Sweep,0,0,Balanced,-9.743726232444235,66,Point
Spin,Short,Middle,149,Straight Drive,0,0,Aggressive,13.164630347100427,67,Fine Leg
Spin,Short,Middle,135,Edge,1,0,Balanced,5.331091930978978,65,Cover
Spin,Short,Off-stump,138,Sweep,0,0,Balanced,-8.747350040252115,56,Cover
Fast,Short,Leg-stump,111,Sweep,4,0,Aggressive,-0.9294791814643055,67,Square Leg
Spin,Full,Leg-stump,135,Hook,3,1,Aggressive,-5.849573192067652,103,Point
Spin,Good,Leg-stump,129,Pull,2,0,Defensive,0.6461601892888122,46,Square Leg
Fast,Full,Leg-stump,141,Sweep,0,0,Balanced,9.019734149356612,57,Point
Fast,Good,Middle,122,Hook,6,0,Defensive,5.148703716254719,48,Fine Leg
Spin,Good,Middle,132,Sweep,0,0,Defensive,14.544332296459167,65,Point
Fast,Good,Leg-stump,110,Cut,0,0,Aggressive,0.32743795761461136,71,Mid-wicket
Fast,Good,Off-stump,137,Defensive,1,0,Defensive,2.770258346663219,51,Square Leg
Fast,Full,Leg-stump,116,Flick,2,0,Balanced,8.312733556428004,91,Mid-wicket
Spin,Full,Middle,117,Sweep,0,0,Balanced,12.953433515991833,11,Slips
Fast,Short,Middle,121,Straight Drive,0,0,Defensive,-8.128663372893687,33,Long-on
Fast,Full,Leg-stump,129,Hook,1,0,Defensive,3.8744171991003924,35,Fine Leg
Spin,Short,Middle,149,Pull,0,0,Balanced,10.078408391555616,86,Slips
Fast,Short,Middle,111,Hook,2,0,Balanced,-0.961879050764761,97,Point
Spin,Good,Leg-stump,136,Sweep,3,0,Defensive,13.200272450600128,110,Long-off
Spin,Good,Off-stump,125,Hook,0,0,Balanced,-7.0140249169879665,31,Cover
Fast,Short,Off-stump,124,Defensive,1,0,Balanced,14.050909672932967,79,Long-on
Fast,Short,Off-stump,115,Straight Drive,2,0,Balanced,-11.929709339482233,53,Mid-wicket
Fast,Full,Middle,129,Edge,1,0,Defensive,-5.322861282028041,29,Long-off
Spin,Full,Leg-stump,133,Cover Drive,0,0,Defensive,4.972443306841502,64,Fine Leg
Fast,Full,Off-stump,118,Edge,0,0,Balanced,-0.013775204970311705,72,Long-off
Spin,Good,Middle,121,Hook,2,0,Aggressive,12.000878627077242,77,Cover
Spin,Good,Off-stump,126,Pull,2,0,Balanced,-13.176376544734698,73,Long-on
Fast,Short,Leg-stump,140,Edge,0,0,Balanced,-0.6797801327766102,31,Long-off
Spin,Short,Off-stump,126,Straight Drive,0,0,Defensive,-12.16864196722858,83,Fine Leg
Spin,Good,Middle,138,Edge,0,1,Balanced,-7.259612339464318,57,Slips
Fast,Good,Middle,149,Cover Drive,6,0,Balanced,-3.309288908971025,44,Square Leg
Spin,Short,Middle,141,Sweep,0,0,Aggressive,-9.216124836066834,61,Mid-wicket
Spin,Full,Off-stump,132,Cover Drive,4,0,Balanced,3.2421104668942604,22,Point
Spin,Short,Off-stump,121,Edge,2,0,Defensive,-7.434801098503504,98,Fine Leg
Spin,Full,Middle,117,Cut,3,0,Balanced,-6.626025590674505,55,Cover
Spin,Short,Leg-stump,122,Pull,0,0,Balanced,11.20801042024847,110,Long-on
Fast,Good,Off-stump,137,Cover Drive,4,0,Aggressive,8.096327295712925,94,Long-on
Spin,Short,Middle,134,Hook,1,0,Balanced,4.937390003562079,43,Point
Fast,Full,Off-stump,131,Cut,0,0,Defensive,-4.684446234536836,80,Slips
Spin,Good,Off-stump,112,Straight Drive,6,0,Defensive,-14.936277341754142,50,Cover
Fast,Short,Leg-stump,128,Cut,2,0,Aggressive,6.984775627542845,105,Point
Spin,Good,Middle,122,Defensive,0,0,Defensive,-0.59318918092481,71,Fine Leg
Fast,Good,Middle,125,Flick,4,0,Defensive,-11.85799028403732,25,Mid-wicket
Spin,Full,Middle,111,Straight Drive,2,0,Aggressive,-9.086415676997161,63,Long-on
Fast,Short,Leg-stump,128,Cover Drive,0,0,Aggressive,-11.295996587514058,85,Mid-wicket
Fast,Short,Leg-stump,140,Pull,1,0,Defensive,-4.343968982161323,63,Slips
Fast,Short,Off-stump,112,Straight Drive,0,0,Defensive,7.5700840538647896,25,Slips
Fast,Good,Middle,114,Sweep,0,0,Aggressive,-8.949235960787709,67,Slips
Spin,Full,Off-stump,119,Flick,1,0,Defensive,-5.534477174672288,34,Cover
Spin,Good,Off-stump,145,Cover Drive,0,0,Balanced,-13.9093450547079,84,Long-off
Fast,Short,Middle,144,Straight Drive,1,0,Aggressive,13.974979402127204,78,Long-off
Fast,Full,Middle,145,Sweep,1,0,Defensive,-10.287186841965822,118,Slips
Fast,Good,Leg-stump,122,Cut,2,0,Aggressive,14.28266851399303,41,Point
Fast,Full,Middle,135,Cut,0,0,Balanced,-14.75839497456951,100,Square Leg
Fast,Short,Off-stump,115,Hook,2,0,Balanced,2.4689920367342992,69,Point
Spin,Good,Off-stump,146,Straight Drive,0,0,Aggressive,-5.478334344770076,37,Slips
Spin,Good,Middle,125,Straight Drive,4,0,Balanced,10.987306797034833,103,Long-on
Fast,Short,Middle,146,Hook,0,0,Aggressive,5.397701515231642,52,Cover
Fast,Short,Off-stump,122,Hook,4,0,Defensive,-3.4378685929432216,92,Square Leg
Spin,Short,Leg-stump,117,Edge,0,0,Aggressive,-6.261711557496547,29,Mid-wicket
Fast,Full,Leg-stump,128,Edge,4,0,Defensive,-1.5662712245551162,60,Fine Leg
Fast,Good,Off-stump,149,Sweep,6,0,Balanced,-9.92099333863881,74,Slips
Fast,Short,Middle,142,Sweep,2,0,Aggressive,2.576111318975016,31,Long-on
Fast,Short,Off-stump,140,Straight Drive,0,0,Aggressive,-9.43563585346958,41,Square Leg
Fast,Full,Leg-stump,134,Cover Drive,0,0,Balanced,10.432018372306029,16,Mid-wicket
Spin,Full,Leg-stump,136,Sweep,1,0,Balanced,3.4034692420229966,105,Slips
Spin,Short,Off-stump,111,Hook,0,0,Aggressive,-14.626345792691762,55,Square Leg
Spin,Good,Off-stump,111,Flick,0,0,Balanced,-12.884447424165828,95,Fine Leg
Spin,Short,Off-stump,149,Flick,2,0,Defensive,-2.1293690112771966,17,Slips
Fast,Good,Leg-stump,122,Straight Drive,0,0,Defensive,-3.0820718771067526,53,Slips
Fast,Good,Middle,116,Sweep,1,0,Balanced,6.505372088922506,116,Slips
Spin,Short,Off-stump,125,Cover Drive,1,1,Balanced,-10.876319206653237,36,Long-off
Fast,Good,Leg-stump,147,Flick,0,0,Aggressive,14.928315591822656,58,Fine Leg
Spin,Short,Leg-stump,140,Edge,4,0,Aggressive,1.8457006272870657,102,Square Leg
Spin,Full,Middle,149,Cover Drive,0,0,Aggressive,-10.151886797673825,12,Point
Spin,Good,Off-stump,128,Straight Drive,3,0,Aggressive,11.96562659218268,48,Long-on
Spin,Full,Leg-stump,136,Edge,1,0,Defensive,10.27052941512433,44,Point
Spin,Good,Leg-stump,121,Hook,1,0,Defensive,2.447773279164384,70,Fine Leg
Fast,Good,Off-stump,119,Cut,4,0,Aggressive,11.069524993648375,101,Cover
Spin,Short,Off-stump,117,Flick,0,1,Defensive,-5.756560208071754,107,Long-off
Fast,Short,Middle,110,Straight Drive,0,0,Balanced,1.2270926710090144,16,Cover
Spin,Good,Middle,132,Defensive,0,0,Aggressive,1.5137622850804284,11,Cover
Fast,Good,Middle,135,Cut,6,0,Defensive,-0.6968735576679581,26,Slips
Spin,Full,Middle,120,Straight Drive,1,0,Balanced,-13.190581427000168,33,Mid-wicket
Fast,Good,Middle,138,Straight Drive,1,1,Aggressive,4.927838347681522,67,Mid-wicket
Fast,Short,Middle,118,Edge,0,1,Balanced,3.6576780853050117,111,Fine Leg
Fast,Short,Off-stump,112,Edge,2,0,Aggressive,-6.5751622714268905,13,Mid-wicket
Spin,Short,Leg-stump,140,Hook,1,0,Defensive,-12.894449907681999,68,Square Leg
Fast,Good,Middle,133,Flick,1,0,Defensive,1.6510586790045423,72,Square Leg
Spin,Good,Off-stump,138,Sweep,1,0,Balanced,3.887023571934936,100,Cover
Fast,Short,Leg-stump,117,Flick,0,0,Aggressive,-8.670170053342405,45,Slips
Fast,Full,Off-stump,124,Flick,0,0,Aggressive,0.8159110755565884,27,Slips
Spin,Short,Middle,149,Edge,1,0,Defensive,-7.642671966161508,99,Point
Fast,Full,Off-stump,124,Straight Drive,0,0,Aggressive,-11.382564285085497,44,Point
Spin,Good,Off-stump,143,Straight Drive,0,0,Aggressive,5.582619027428919,80,Square Leg
Fast,Full,Leg-stump,132,Cut,3,0,Balanced,4.235661724045453,28,Square Leg
Spin,Good,Off-stump,117,Edge,1,0,Aggressive,10.146312410306734,65,Long-on
Spin,Short,Off-stump,114,Defensive,3,0,Defensive,-13.36413836389667,83,Cover
Fast,Good,Off-stump,115,Straight Drive,0,0,Defensive,-3.03717383903782,46,Fine Leg
Spin,Good,Middle,124,Defensive,1,0,Balanced,-1.3511677271623608,76,Mid-wicket
Fast,Full,Middle,118,Cut,4,0,Aggressive,-11.956537780130287,65,Fine Leg
Spin,Short,Leg-stump,133,Cover Drive,3,0,Balanced,12.847895236538417,75,Long-on
Spin,Short,Leg-stump,141,Cut,6,0,Aggressive,7.343774370681988,81,Square Leg
Spin,Full,Off-stump,134,Flick,0,0,Defensive,-8.456865003307257,78,Long-on
Spin,Short,Off-stump,114,Flick,0,0,Defensive,14.57470247170172,119,Long-on
Fast,Short,Middle,131,Edge,0,0,Defensive,-14.924474497659336,117,Fine Leg
Fast,Full,Off-stump,119,Pull,1,0,Balanced,8.51467889550424,20,Mid-wicket
Fast,Good,Middle,143,Flick,0,0,Defensive,-0.8307573025240131,100,Fine Leg
Spin,Full,Leg-stump,133,Edge,0,0,Defensive,-8.981887029043504,73,Long-on
Fast,Full,Middle,123,Cut,6,0,Balanced,10.85878043223331,77,Square Leg
Spin,Good,Off-stump,119,Hook,0,0,Defensive,-2.2254677771649174,65,Point
Fast,Full,Middle,129,Straight Drive,0,0,Aggressive,-8.461622136388531,64,Square Leg
Spin,Good,Off-stump,148,Cut,6,0,Balanced,0.27566863763091654,62,Long-on
Fast,Good,Leg-stump,138,Defensive,0,0,Balanced,6.4715527362445435,60,Long-on
Fast,Good,Middle,136,Cut,2,0,Aggressive,6.4918567381635235,118,Fine Leg
Fast,Short,Off-stump,149,Edge,0,0,Aggressive,5.248919200367077,98,Cover
Fast,Full,Leg-stump,135,Cover Drive,3,0,Defensive,0.47629962176882934,94,Mid-wicket
Fast,Good,Middle,137,Flick,1,0,Defensive,0.16097573138356225,33,Slips
Spin,Full,Middle,111,Defensive,0,0,Defensive,6.2365747601172785,64,Square Leg
Fast,Full,Middle,113,Edge,4,0,Balanced,6.461062758028845,65,Square Leg
Fast,Short,Leg-stump,126,Sweep,0,0,Defensive,-0.31928736288054615,48,Cover
Spin,Short,Off-stump,113,Cut,0,0,Aggressive,-0.9091868421946216,62,Long-on
Fast,Short,Off-stump,119,Flick,1,0,Balanced,0.45413199742430166,104,Long-on
Fast,Short,Middle,116,Edge,2,0,Aggressive,7.53717426464123,83,Fine Leg
Spin,Full,Off-stump,110,Sweep,6,0,Defensive,-2.824908848009203,102,Point
Spin,Good,Off-stump,138,Sweep,0,0,Aggressive,2.3745822502117804,115,Slips
Spin,Full,Middle,112,Straight Drive,1,0,Defensive,-0.6058788406212443,117,Cover
Fast,Good,Middle,145,Straight Drive,2,0,Balanced,14.452898033010449,27,Mid-wicket
Fast,Short,Off-stump,118,Edge,4,0,Balanced,4.715675122411035,56,Square Leg
Fast,Short,Off-stump,127,Edge,4,1,Aggressive,-5.360798811713602,82,Square Leg
Fast,Full,Middle,113,Edge,0,0,Defensive,-9.53201105012468,62,Long-on
Fast,Short,Middle,138,Cover Drive,6,0,Defensive,0.3525551144545478,101,Long-on
Spin,Short,Leg-stump,120,Hook,0,0,Aggressive,-1.951605630437978,45,Slips
Fast,Full,Off-stump,114,Pull,0,0,Balanced,-7.584562160357452,68,Long-off
Spin,Good,Middle,136,Edge,2,0,Aggressive,7.386455618222147,91,Slips
Spin,Good,Off-stump,133,Flick,0,0,Balanced,-7.275765234529424,62,Mid-wicket
Spin,Good,Leg-stump,146,Cut,6,0,Defensive,1.1681542127757325,99,Mid-wicket
Fast,Full,Off-stump,121,Cover Drive,1,0,Defensive,-4.117662360779153,106,Mid-wicket
Fast,Good,Leg-stump,140,Sweep,0,0,Balanced,-2.222090492442174,108,Point
Spin,Good,Off-stump,144,Cover Drive,6,0,Defensive,-4.572031518276232,115,Point
Fast,Full,Middle,131,Flick,4,0,Aggressive,8.35898859243882,20,Mid-wicket
Spin,Good,Off-stump,119,Cut,0,0,Aggressive,-0.7371478394265125,96,Point
